"Timestamp","What is your main occupation?","Select main country or region of your workplace in past 5 years. [among the countries in Top500 list as of Nov. 2018. If you cannot find your country or region, please specify.]","Rate your overall programming skill (non-MPI programs):","Rate your MPI programming skill:","What programming language(s) do you use most often?","How long have you been writing computer programs (incl. non-MPI programs)?","How long have you been writing MPI programs?","Which fields are you mostly working in?","What is your major role at your place of work?","Have you ever read the MPI standard specification document?","How did you learn MPI?","Which MPI book(s) have you read?","Which MPI implementations do you use?","Why did you choose the MPI implementation(s)? [Select most suitable one]","How do you check MPI specifications when you are writing MPI programs?","What is the most difficult part of writing an MPI program?","Which MPI features have you never heard of?","What aspects of the MPI standard do you use in your program in its current form?","Which MPI thread support are you using?","What are your obstacles to mastering MPI?","When you call an MPI routine, how often do you check the error code of the MPI routine  (excepting MPI-IO)?","In most of your programs, do you pack MPI function calls into their own file or files to have your own abstraction layer for communication?","Have you ever written MPI+”X” programs? If so, select all that apply.","Is there any room for performance tuning in your MPI programs? Select most suitable one.","What, if any, alternatives are you investigating to indirectly call MPI or another communication layer by using another parallel language/library?","If there were one communication aspect which is not enough in the current MPI could improve the performance of your application, what would you prioritize? Or is MPI providing all the communication semantics required by your application? If not, what is missing?","Is MPI providing all the communication semantics required by your application? If not, what is missing?","What MPI feature(s) are NOT useful for you application?","Do you think the MPI standard should maintain backward compatibility?","In the tradeoff between code portability and performance, which is more or less important for you to write MPI programs? [""1"" means portability is the most important and ""3"" means both are equally important.]"
"2019/02/28 8:12:19 PM AST","College/University","Korea, South","5","4","C/C++;Python","between 5 and 10 years","between 2 and 5 years","Numerical application and/or library","Research and development of application(s)","I read only the chapters of interest for my work.","I read book(s).","Parallel Programming with MPI;MPI: The Complete Reference","MVAPICH","I could not have any choice (the one provided by a vendor).","I read online documents (such as man pages).","Performance tuning","Dynamic process creation;PMPI interface","Collective communications;MPI datatypes","I have never called MPI_INIT_THREAD","Too complicated and hard to understand.","I rely on the default ‘Errors abort’ error handling","No, MPI calls are scattered in my programs.","No","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","I am not investigating any alternatives.","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","There are no unnecessary features","Yes, compatibility is very important for me.","5"
"2019/02/28 9:29:22 PM AST","Private research institute","Japan","5","6","C/C++;Fortran (older one than Fortran 90);Fortran 90 or newer","more than 10 years","more than 10 years","System software development (OS, runtime library, communication library, etc.);Numerical application and/or library;Tool development (performance tuning, debugging, etc.)","Parallelization of sequential program(s);Performance tuning of MPI program(s)","I read only the chapters of interest for my work.","I read book(s).;I had lecture(s) at school.","Using MPI;MPI: The Complete Reference","Open MPI;Intel MPI;Fujistu MPI","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).;I read book(s) (except the MPI standard).;I read online documents (such as man pages).;I ask colleagues.","Algorithm design","","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;MPI with OpenMP (or multithread);PMPI interface","MPI_THREAD_SINGLE;MPI_THREAD_FUNNELED","I have no obstacles.","I rely on the default ‘Errors abort’ error handling","No, MPI calls are scattered in my programs.","OpenMP","No, my MPI programs are well-tuned.","I am not investigating any alternatives.","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","Endpoints (multi-thread, sessions);Resilience (fault tolerance);Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","There are no unnecessary features","API should be clearly versioned.","4"
"2019/03/01 12:40:23 AM AST","College/University","Japan","3","1","Python;R","between 2 and 5 years","less than 2 years","Bioinformatics","Research for genome sequence","No, and I will not read it.","I read articles found on Internet.","I have never read any MPI books","I do not know","I have no special reason.","I search the Internet (Google / Stack Overflow).","Algorithm design","Point-to-point communications;Collective communications","Point-to-point communications;Collective communications","I have never called MPI_INIT_THREAD","Too complicated and hard to understand.;I have nobody to ask.","Mostly","No, my program is too small to do that.","No","I do not know if there is room for performance tuning.","A framework or library using MPI.;A PGAS language (UPC, Coarray Fortran, OpenSHMEM, XcalableMP, ...).","Message injection rate","Latency hiding (including asynchronous completion);Endpoints (multi-thread, sessions);Resilience (fault tolerance)","One-sided communication;Datatypes;Error handlers","I do not know or I do not care.","3"
"2019/03/01 12:43:17 AM AST","Governmental institute","Korea, South","5","2","Java;Python","more than 10 years","less than 2 years","AI (Deep Learning);Big data","Research and development of application(s)","I read only the chapters of interest for my work.","I read the MPI standard document.;Other lectures or tutorials (workplace, conference).","I have never read any MPI books","Open MPI;MVAPICH;Intel MPI","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).","Debugging","MPI with OpenMP (or multithread);PMPI interface","Collective communications;Dynamic process creation","I do not know or I do not care.","Too complicated and hard to understand.","Sometimes","Yes, to minimize the changes of communication API.","CUDA","I think there is room but I do not know how to tune it.","A framework or library using MPI.;Low-level communication layer provided by vendor (Verbs, DCMF, ...).","Latency","Latency hiding (including asynchronous completion)","Communicator and group management;Process topologies","I prefer to have new API which is simpler and/or easier-to-use.","4"
"2019/03/01 6:06:11 AM AST","Governmental institute","France","6","5","C/C++;Fortran 90 or newer;Python","more than 10 years","more than 10 years","System software development (OS, runtime library, communication library, etc.);Parallel language (incl. domain specific language);Numerical application and/or library;Tool development (performance tuning, debugging, etc.)","Research and development on system software (OS and/or runtime library)","I read only the chapters of interest for my work.","I read the MPI standard document.;I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","","MPICH;Open MPI","I like to use it.","I read online documents (such as man pages).","Debugging","PMPI interface","Point-to-point communications;Collective communications;MPI datatypes;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_FUNNELED;MPI_THREAD_SERIALIZED;MPI_THREAD_MULTIPLE","few examples/tutorials available for advanced features such as one sided routines","Mostly","Yes, to minimize the changes of communication API.","OpenMP;Pthread;CUDA","No, my MPI programs are well-tuned.","A framework or library using MPI.;Low-level communication layer provided by vendor (Verbs, DCMF, ...).","Optimization opportunities except communication (architecture awareness, dynamic processing, accelerator support, etc.)","Endpoints (multi-thread, sessions);Resilience (fault tolerance);Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","One-sided communication","I think the MPI standard should evolve more quickly, and drop backward compatibility when necessary","3"
"2019/03/01 7:23:05 AM AST","College/University","France","5","3","C/C++;Fortran (older one than Fortran 90);Fortran 90 or newer","between 5 and 10 years","between 2 and 5 years","Numerical application and/or library;Workflow and/or In-situ","Research and development of application(s)","No, and I will not read it.","I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","","Open MPI","I was said to use it.","I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Algorithm design","Point-to-point communications;One-sided communications;Dynamic process creation;Persistent communication;PMPI interface","MPI datatypes;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_FUNNELED;MPI_THREAD_MULTIPLE","","I rely on the default ‘Errors abort’ error handling","Yes, to minimize the changes of communication API.","OpenMP","I do not know if there is room for performance tuning.","A Domain Specific Language (DSL).","Optimization opportunities except communication (architecture awareness, dynamic processing, accelerator support, etc.)","Resilience (fault tolerance)","","API should be clearly versioned.","4"
"2019/03/01 7:25:00 AM AST","College/University","France","6","4","C/C++;Python","more than 10 years","between 2 and 5 years","Parallel language (incl. domain specific language);Numerical application and/or library","Research and development of application(s);Research and development software tool(s);Parallelization of sequential program(s)","I read only the chapters of interest for my work.","I read the MPI standard document.;I read articles found on Internet.","","MPICH;Open MPI","I have no special reason.","I read the MPI Standard document (web/book).;I search the Internet (Google / Stack Overflow).","Algorithm design","Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_MULTIPLE","Time","Sometimes","Yes, to minimize the changes of communication API.","OpenMP","Yes, I know there is room for tuning but I do not have enough resources to do that.","","","","","API should be clearly versioned.","3"
"2019/03/01 7:59:40 AM AST","College/University","France","5","4","Fortran 90 or newer","more than 10 years","more than 10 years","Parallel language (incl. domain specific language);Numerical application and/or library","Research and development of application(s)","I have not read it, but I plan to.","I read book(s).;I had lecture(s) at school.","","MPICH;Open MPI;Intel MPI","I could not have any choice (the one provided by a vendor).","I read book(s) (except the MPI standard).;I search the Internet (Google / Stack Overflow).","Performance tuning","Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_FUNNELED","No appropriate lecture / book / info.","Sometimes","No, MPI calls are scattered in my programs.","OpenMP","I think there is room but I do not know how to tune it.","I am not investigating any alternatives.","MPI provides all semantics I need","Resilience (fault tolerance)","Process topologies;Dynamic process creation","Yes, compatibility is very important for me.","2"
"2019/03/01 8:09:27 AM AST","College/University","France","4","3","C/C++;Fortran 90 or newer;Python","between 2 and 5 years","between 2 and 5 years","Numerical application and/or library","Research and development of application(s);Parallelization of sequential program(s)","I read only the chapters of interest for my work.","I read book(s).;I read articles found on Internet.","Using MPI;MPI: The Complete Reference","Open MPI","I was said to use it.","I read the MPI Standard document (web/book).;I read book(s) (except the MPI standard).;I read online documents (such as man pages).;I ask colleagues.;I search the Internet (Google / Stack Overflow).","Algorithm design","Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on)","MPI_THREAD_SINGLE;MPI_THREAD_MULTIPLE","No appropriate lecture / book / info.;I have nobody to ask.","Mostly","It's a mix of both, I try to keep the communications part as a separate layer whenever I can. ","OpenMP","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","I am not investigating any alternatives.","Mainly bandwidth and passing large arrays ~2GB+ memory usage and ofcourse the associated latency for large messages.","Another API which is easier and/or simpler to use;MPI is providing all the communication semantics required by my application","Process topologies;Dynamic process creation","I prefer to have new API which is simpler and/or easier-to-use.","3"
"2019/03/01 8:51:07 AM AST","College/University","France","5","2","Fortran (older one than Fortran 90);Fortran 90 or newer","between 5 and 10 years","less than 2 years","Numerical application and/or library;Tool development (performance tuning, debugging, etc.)","Research and development of application(s)","I have not read it, but I plan to.","Other lectures or tutorials (workplace, conference).","","Open MPI","I was said to use it.","I ask colleagues.;I search the Internet (Google / Stack Overflow).","Algorithm design","MPI with OpenMP (or multithread)","MPI with OpenMP (or multithread)","I do not know or I do not care.","No appropriate lecture / book / info.;Too complicated and hard to understand.;I have nobody to ask.","Mostly","No, MPI calls are scattered in my programs.","No","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","I am not investigating any alternatives.","Multi-threading support","","","Yes, compatibility is very important for me.","3"
"2019/03/01 1:46:22 PM AST","College/University","France","4","4","C/C++","between 2 and 5 years","less than 2 years","Numerical application and/or library","Research and development on system software (OS and/or runtime library)","I read only the chapters of interest for my work.","I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).","Parallel Programming with MPI","Open MPI","I was said to use it.","I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Debugging","","Point-to-point communications;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_FUNNELED","No detailed and clear enough documents about internal implementation","I rely on the default ‘Errors abort’ error handling","Yes, to minimize the changes of communication API.","OpenMP","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","A framework or library using MPI.","Multi-threading support","Resilience (fault tolerance)","There are no unnecessary features","API should be clearly versioned.","3"
"2019/03/01 5:32:55 PM AST","College/University","France","5","4","Fortran 90 or newer","more than 10 years","between 5 and 10 years","Physics","Research in physics","I read only the chapters of interest for my work.","I read the MPI standard document.;Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","I have never read any MPI books","MPICH;Intel MPI;IBM MPI (BG/Q, PE, Spectrum)","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Debugging","Dynamic process creation;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;MPI with OpenMP (or multithread)","I do not know or I do not care.","Difficulty to debug","Always","No, MPI calls are scattered in my programs.","OpenMP","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","I am not investigating any alternatives.","Multi-threading support","Endpoints (multi-thread, sessions)","","Yes, compatibility is very important for me.","3"
"2019/03/02 5:06:01 AM AST","College/University","Russia","3","3","C/C++","between 2 and 5 years","less than 2 years","Parallel language (incl. domain specific language)","Research and development of application(s);Parallelization of sequential program(s)","I read only the chapters of interest for my work.","I read the MPI standard document.;Other lectures or tutorials (workplace, conference).","I have never read any MPI books","Open MPI;Intel MPI","I like to use it.","I read the MPI Standard document (web/book).","Finding appropriate MPI routines","Persistent communication","Point-to-point communications","I do not know or I do not care.","I have no obstacles.","Sometimes","No, my program is too small to do that.","No","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","I am not investigating any alternatives.","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","Datatypes;Communicator and group management","I prefer to have new API for better performance.","4"
"2019/03/03 11:55:36 AM AST","College/University","France","4","5","C/C++","between 2 and 5 years","between 2 and 5 years","Numerical application and/or library","Research and development of application(s);Parallelization of sequential program(s);Performance tuning of MPI program(s)","I read most of it.","I read the MPI standard document.;I had lecture(s) at school.;I read articles found on Internet.","MPI: The Complete Reference","Open MPI","I have no special reason.","I read the MPI Standard document (web/book).;I read online documents (such as man pages).","Debugging","Persistent communication;PMPI interface","Point-to-point communications;Collective communications;MPI datatypes;MPI with OpenMP (or multithread)","MPI_THREAD_SERIALIZED","I have no obstacles.","Mostly","Yes, but I have no special reason for doing that.","Pthread;CUDA","Yes, I know there is room for tuning but I do not have enough resources to do that.","A PGAS language (UPC, Coarray Fortran, OpenSHMEM, XcalableMP, ...).","Optimization opportunities except communication (architecture awareness, dynamic processing, accelerator support, etc.)","Latency hiding (including asynchronous completion);Resilience (fault tolerance)","There are no unnecessary features","I do not know or I do not care.","3"
"2019/03/03 1:19:45 PM AST","College/University","Poland","4","5","C/C++;Fortran 90 or newer;Python","more than 10 years","more than 10 years","Numerical application and/or library;Visualization","Research and development of application(s)","I read only the chapters of interest for my work.","Other lectures or tutorials (workplace, conference).;I learned from other working applications","I have never read any MPI books","MPICH;Open MPI","I could not have any choice (the one provided by a vendor).","I read online documents (such as man pages).;I ask colleagues.;I search the Internet (Google / Stack Overflow).","Domain decomposition","Communicator operations (split, duplicate, and so on);Dynamic process creation;PMPI interface","Point-to-point communications;Collective communications;MPI datatypes;MPI with OpenMP (or multithread)","I have never called MPI_INIT_THREAD","I have no obstacles.","Sometimes","No, MPI calls are scattered in my programs.","OpenMP;Pthread","I do not have (know) tools to find performance bottlenecks.","I am not investigating any alternatives.","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","Latency hiding (including asynchronous completion)","Dynamic process creation","Yes, compatibility is very important for me.","3"
"2019/03/03 7:24:56 PM AST","College/University","France","4","2","R","between 5 and 10 years","less than 2 years","Parallel language (incl. domain specific language);Big data;statistics","Research and development of application(s)","No, and I will not read it.","","","","","","","","","","","","","","","","","","","",""
"2019/03/03 8:55:03 PM AST","College/University","Korea, South","5","5","Fortran (older one than Fortran 90);Fortran 90 or newer","more than 10 years","between 5 and 10 years","Numerical application and/or library","Research and development of application(s)","I read only the chapters of interest for my work.","I read the MPI standard document.;Other lectures or tutorials (workplace, conference).","","Open MPI;Intel MPI","I like to use it.","I read the MPI Standard document (web/book).","Algorithm design","Communicator operations (split, duplicate, and so on)","Point-to-point communications","MPI_THREAD_SINGLE","I have no obstacles.","Sometimes","Yes, but I have no special reason for doing that.","OpenMP","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","A framework or library using MPI.","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","Endpoints (multi-thread, sessions)","One-sided communication","Yes, compatibility is very important for me.","3"
"2019/03/04 4:00:27 AM AST","Other","France","4","5","C/C++;Fortran (older one than Fortran 90);Fortran 90 or newer","more than 10 years","more than 10 years","Numerical application and/or library","Research and development of application(s);Research and development software tool(s);Performance tuning of MPI program(s);Debugging MPI programs","I read only the chapters of interest for my work.","I read the MPI standard document.;I read articles found on Internet.","MPI: The Complete Reference","MPICH;Open MPI;Intel MPI;IBM MPI (BG/Q, PE, Spectrum)","I have no special reason.","I read the MPI Standard document (web/book).;I read online documents (such as man pages).","Performance tuning","","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;MPI with OpenMP (or multithread)","MPI_THREAD_FUNNELED","Understanding performance, making immediate communications asynchronous, ...","Never","No, MPI calls are scattered in my programs.","OpenMP;Pthread;CUDA","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","rather than ibcast: isend same msg efficiently to several destinations, reception with irecv/recv. Or better (panel broadcast in a dense linear algebra factorizations): a way to pipeline communication and computation in an asynchronous broadcast tree. For example P0->(P1,P2) ; P1->(P3,P4), P2->(P5,P6), etc... while P3-P6 receive panel 1 (say), P1-P2  work with and forward panel 2, and P0 computes and sends panel 3, without synchronization and re-use of same buffer space for all panels","Latency hiding (including asynchronous completion)","","Yes, compatibility is very important for me.","1"
"2019/03/04 5:07:24 AM AST","College/University","France","5","5","C/C++","more than 10 years","more than 10 years","Numerical application and/or library","Research and development of application(s);Research and development software tool(s)","I read only the chapters of interest for my work.","I read the MPI standard document.;I read book(s).;I read articles found on Internet.","Parallel Programming with MPI;Using MPI;MPI: The Complete Reference","MPICH;Open MPI;MVAPICH;Intel MPI","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).","Debugging","PMPI interface","Point-to-point communications;MPI datatypes;Persistent communications;MPI with OpenMP (or multithread)","MPI_THREAD_FUNNELED;MPI_THREAD_MULTIPLE","Too many routines.","Always","Yes, to minimize the changes of communication API.","OpenMP;Pthread;CUDA","Yes, I know there is room for tuning but I do not have enough resources to do that.","Low-level communication layer provided by vendor (Verbs, DCMF, ...).","Multi-threading support","Latency hiding (including asynchronous completion)","One-sided communication;Process topologies","I prefer to have new API for better performance.","4"
"2019/03/04 5:13:23 AM AST","Governmental institute","France","6","4","C/C++","more than 10 years","more than 10 years","Numerical application and/or library","Research and development software tool(s)","","I read the MPI standard document.;I read book(s).","MPI: The Complete Reference","MPICH;Open MPI","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I ask colleagues.;I search the Internet (Google / Stack Overflow).","Debugging","Persistent communication;PMPI interface","Point-to-point communications;Collective communications;MPI datatypes","MPI_THREAD_SINGLE;MPI_THREAD_FUNNELED;MPI_THREAD_SERIALIZED;MPI_THREAD_MULTIPLE","I have no obstacles.","Mostly","Yes, to minimize the changes of communication API.","","I think there is room but I do not know how to tune it.","A framework or library using MPI.","Latency","MPI is providing all the communication semantics required by my application","There are no unnecessary features","Yes, compatibility is very important for me.","1"
"2019/03/04 5:31:14 AM AST","College/University","France","5","4","Fortran 90 or newer","more than 10 years","between 5 and 10 years","Numerical application and/or library","Research and development of application(s)","","I read articles found on Internet.","I have never read any MPI books","Open MPI;Intel MPI","I could not have any choice (the one provided by a vendor).","I read online documents (such as man pages).;I ask colleagues.","Algorithm design","Dynamic process creation;Persistent communication","Point-to-point communications;MPI with OpenMP (or multithread)","MPI_THREAD_MULTIPLE","Too many routines.","Sometimes","No, MPI calls are scattered in my programs.","No","No, my MPI programs are well-tuned.","I am not investigating any alternatives.","Bandwidth","MPI is providing all the communication semantics required by my application","There are no unnecessary features","Yes, compatibility is very important for me.","4"
"2019/03/04 5:58:44 AM AST","College/University","France","6","5","C/C++;Fortran 90 or newer;Java;Python","between 5 and 10 years","","Parallel language (incl. domain specific language);Numerical application and/or library;Image processing;Tool development (performance tuning, debugging, etc.)","Research and development of application(s);Research and development software tool(s);Parallelization of sequential program(s)","I read only the chapters of interest for my work.","I read the MPI standard document.;I had lecture(s) at school.;I read articles found on Internet.","","Intel MPI","I like to use it.","I read the MPI Standard document (web/book).;I ask colleagues.","Performance tuning","Persistent communication;MPI with OpenMP (or multithread)","MPI with OpenMP (or multithread)","","No appropriate lecture / book / info.","Sometimes","Yes, to minimize the changes of communication API.","","I do not have (know) tools to find performance bottlenecks.","A framework or library using MPI.","Optimization opportunities except communication (architecture awareness, dynamic processing, accelerator support, etc.)","","","Yes, compatibility is very important for me.","3"
"2019/03/04 6:41:33 AM AST","Governmental institute","France","6","5","C/C++","more than 10 years","between 5 and 10 years","System software development (OS, runtime library, communication library, etc.);Numerical application and/or library;Workflow and/or In-situ","Research and development of application(s);Parallelization of sequential program(s);Performance tuning of MPI program(s);Debugging MPI programs","I read only the chapters of interest for my work.","I read the MPI standard document.;Other lectures or tutorials (workplace, conference).","","MPICH;Open MPI;Intel MPI;IBM MPI (BG/Q, PE, Spectrum)","I have no special reason.","I read the MPI Standard document (web/book).;I read online documents (such as man pages).","Other","PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI with OpenMP (or multithread);I use almost exclusively the Boost MPI layer","MPI_THREAD_SINGLE;MPI_THREAD_FUNNELED","Too complicated and hard to understand.;I do not like the API.;seems target to Fortran 77 programmers","Mostly","Through Boost MPI","OpenMP;Pthread","Yes, I know there is room for tuning but I do not have enough resources to do that.","A framework or library using MPI.","MPI provides all semantics I need","better async IO","One-sided communication","API should be clearly versioned.","2"
"2019/03/04 6:50:42 AM AST","Governmental institute","France","4","4","C/C++;Fortran (older one than Fortran 90);Fortran 90 or newer","between 5 and 10 years","between 5 and 10 years","Numerical application and/or library","Research and development of application(s)","","I read the MPI standard document.;Other lectures or tutorials (workplace, conference).","Using MPI;MPI: The Complete Reference","MPICH;Open MPI;Intel MPI;BULL MPI","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Performance tuning","Persistent communication","Point-to-point communications;Collective communications;One-sided communications;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_MULTIPLE","Too many routines.","Sometimes","No, MPI calls are scattered in my programs.","OpenMP;CUDA","Yes, I know there is room for tuning but I do not have enough resources to do that.","A PGAS language (UPC, Coarray Fortran, OpenSHMEM, XcalableMP, ...).;A Domain Specific Language (DSL).","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","Latency hiding (including asynchronous completion);Resilience (fault tolerance);Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","Communicator and group management;Dynamic process creation","Yes, compatibility is very important for me.","3"
"2019/03/04 6:53:59 AM AST","Private research institute","France","4","4","C/C++","between 5 and 10 years","between 2 and 5 years","Numerical application and/or library","Research and development of application(s)","I read only the chapters of interest for my work.","Other lectures or tutorials (workplace, conference).","","Open MPI;Intel MPI","I am familiar with it.","I read online documents (such as man pages).","Domain decomposition","Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_MULTIPLE","I have no obstacles.","Sometimes","Yes, to minimize the changes of communication API.","OpenMP;OpenACC;CUDA","Yes, I know there is room for tuning but I do not have enough resources to do that.","A framework or library using MPI.","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","MPI is providing all the communication semantics required by my application","Datatypes","I prefer to have new API which is simpler and/or easier-to-use.","3"
"2019/03/04 7:31:45 AM AST","Governmental institute","France","5","5","Fortran (older one than Fortran 90);Fortran 90 or newer;Python","more than 10 years","less than 2 years","Numerical application and/or library;Visualization;Tool development (performance tuning, debugging, etc.)","Research and development of application(s);Parallelization of sequential program(s);Performance tuning of MPI program(s)","I read only the chapters of interest for my work.","I read book(s).;Other lectures or tutorials (workplace, conference).","Using MPI;MPI: The Complete Reference","MPICH;Open MPI;Intel MPI;IBM MPI (BG/Q, PE, Spectrum);SGI MPI","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).;I ask colleagues.;I search the Internet (Google / Stack Overflow).","Debugging","Persistent communication;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;MPI with OpenMP (or multithread)","MPI_THREAD_FUNNELED","I have no obstacles.","Mostly","Yes, to minimize the changes of communication API.","OpenMP;OpenACC","I have no chance to investigate.","I am not investigating any alternatives.","Multi-threading support","Resilience (fault tolerance)","Dynamic process creation;Error handlers","Yes, compatibility is very important for me.","3"
"2019/03/04 7:32:26 AM AST","College/University","France","6","5","Fortran 90 or newer","more than 10 years","more than 10 years","Numerical application and/or library","Research and development of application(s)","No, and I will not read it.","Other lectures or tutorials (workplace, conference).","I have never read any MPI books","MPICH;Open MPI;Intel MPI","I am familiar with it.","I read online documents (such as man pages).;I ask colleagues.","Debugging","Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications","I have never called MPI_INIT_THREAD","I have no obstacles.","I rely on the default ‘Errors abort’ error handling","Yes, to minimize the changes of communication API.","No","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","There are no unnecessary features","API should be clearly versioned.","3"
"2019/03/04 7:43:40 AM AST","College/University","France","4","3","C/C++;Python","between 5 and 10 years","between 2 and 5 years","System software development (OS, runtime library, communication library, etc.);Tool development (performance tuning, debugging, etc.)","Research and development on system software (OS and/or runtime library);Performance tuning of MPI program(s)","No, and I will not read it.","I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","I have never read any MPI books","Open MPI","I have no special reason.","I search the Internet (Google / Stack Overflow).","Debugging","One-sided communications;Dynamic process creation;Persistent communication","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;MPI with OpenMP (or multithread);PMPI interface","I have never called MPI_INIT_THREAD","I have no obstacles.","Sometimes","No, my program is too small to do that.","OpenMP","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","I am not investigating any alternatives.","MPI provides all semantics I need","MPI is providing all the communication semantics required by my application","There are no unnecessary features","API should be clearly versioned.","3"
"2019/03/04 7:53:38 AM AST","Governmental institute","France","4","4","C/C++;Fortran 90 or newer","more than 10 years","more than 10 years","Numerical application and/or library","Research and development of application(s);Performance tuning of MPI program(s);Debugging MPI programs","I read only the chapters of interest for my work.","I read book(s).;I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).","Parallel Programming with MPI","Open MPI;Intel MPI","I could not have any choice (the one provided by a vendor).","I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Algorithm design","","Point-to-point communications;Collective communications;MPI datatypes;Persistent communications;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE","I have no obstacles.","Sometimes","No, MPI calls are scattered in my programs.","OpenMP;Pthread;CUDA","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","A framework or library using MPI.;A Domain Specific Language (DSL).","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","One-sided communication;Dynamic process creation","API should be clearly versioned.","3"
